target,text
ham,Today am going to college so am not able to atten the class.
ham,Super msg da:)nalla timing.
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;
ham,Oh baby of the house. How come you dont have any new pictures on facebook
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
ham,I am great! How are you?
ham,Don know..he is watching film in computer..
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,"Goodmorning, today i am late for 1hr."
ham,Thanks for ve lovely wisheds. You rock
ham,Now press conference da:)
ham,I'll probably be around mu a lot
ham,Bugis oso near wat...
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
ham,I am waiting machan. Call me once you free.
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham,Wat r u doing now?
ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
ham,Heehee that was so funny tho
ham,Sleeping nt feeling well
ham,I can send you a pic if you like :)
ham,Dai  &lt;#&gt;  naal eruku.
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Hows the champ just leaving glasgow!
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."
ham,Hey. You got any mail?
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,Watching telugu movie..wat abt u?
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
ham,what number do u live at? Is it 11?
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
ham,But am going to college pa. What to do. are else ill come there it self. Pa.
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
ham,Are you wet right now?
ham,Men like shorter ladies. Gaze up into his eyes.
ham,Does daddy have a bb now.
ham,Ok...
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,No shoot me. I'm in the docs waiting room. :/
ham,Your right! I'll make the appointment right now.
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
ham,I'm gonna rip out my uterus.
ham,Hey anyway i have to :-)
ham,Sure! I am driving but will reach my destination soon.
ham,Ha... U jus ate honey ar? So sweet...
ham,How much did ur hdd casing cost.
ham,No. I.ll meet you in the library
ham,Ok...
ham,"Oops I did have it,  &lt;#&gt; ?"
ham,Ya very nice. . .be ready on thursday
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
ham,"Ok da, i already planned. I wil pick you."
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Depends on where u going lor.
ham,MMM ... Fuck .... Merry Christmas to me
ham,See you there!
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,You are a very very very very bad girl. Or lady.
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
ham,You are not bothering me but you have to trust my answers. Pls.
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,My battery is low babe
ham,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever...."
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
ham,Its a part of checking IQ
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,They r giving a second chance to rahul dengra.
ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna"
ham,What's ur pin?
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
ham,here is my new address -apples&pairs&all that malarky
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,Y bishan lei... I tot ü say lavender?
ham,Ok. How many should i buy.
ham,ARR birthday today:) i wish him to get more oscar.
ham,His bday real is in april .
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Ya had just now.onion roast.
ham,Lol they were mad at first but then they woke up and gave in.
ham,Did u find out what time the bus is at coz i need to sort some stuff out.
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
ham,When are you guys leaving?
ham,Aiyo please ü got time meh.
ham,Still work going on:)it is very small house.
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,Thanks honey. Have a great day.
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
ham,If u sending her home first it's ok lor. I'm not ready yet.
ham,have * good weekend.
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,I dun believe u. I thk u told him.
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
ham,Thank you. do you generally date the brothas?
ham,"Not really dude, have no friends i'm afraid :("
ham,A guy who gets used but is too dumb to realize it.
ham,"Usf I guess, might as well take 1 car"
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
ham,Lmao. Take a pic and send it to me.
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?
ham,Nope i'm not drivin... I neva develop da photos lei...
ham,Nothing just getting msgs by dis name wit different no's..
ham,Super da:)good replacement for murali
ham,S.i'm watching it in live..
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,I accidentally deleted the message. Resend please.
ham,When you came to hostel.
ham,Did you see that film:)
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
ham,Then why no one talking to me
ham,Shall call now dear having food
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,U too...
ham,Sindu got job in birla soft ..
ham,So why didnt you holla?
ham,Ill be there on  &lt;#&gt;  ok.
ham,She ran off with a younger man. we will make pretty babies together :)
ham,"Aight, call me once you're close"
ham,U guys never invite me anywhere :(
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
ham,Can you say what happen
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
ham,Spoons it is then okay?
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,I always chat with you. In fact i need money can you raise me?
ham,Wake me up at  &lt;#&gt;  am morning:)
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
ham,Happy birthday... May all ur dreams come true...
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!
ham,And I don't plan on staying the night but I prolly won't be back til late
ham,Am going to take bath ill place the key in window:-)
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
ham,Oh really?? Did you make it on air? What's your talent?
ham,Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
ham,Its sunny in california. The weather's just cool
ham,No calls..messages..missed calls
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,Ryder unsold.now gibbs.
ham,I'm done. C ü there.
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,We have pizza if u want
ham,That's significant but dont worry.
ham,"Its good, we'll find a way"
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,Then ü come n pick me at 530 ar?
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
ham,Ok. I asked for money how far
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,Moji i love you more than words. Have a rich day
ham,Friends that u can stay on fb chat with
ham,Oh my God. I'm almost home
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
ham,Glad to see your reply.
ham,Ü give me some time to walk there.
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
ham,Yes.mum lookin strong:)
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,"Aight, lemme know what's up"
ham,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
ham,Mmm so yummy babe ... Nice jolt to the suzy
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,I see a cup of coffee animation
ham,K...k:)why cant you come here and search job:)
ham,Thought we could go out for dinner. I'll treat you! Seem ok?
ham,Only once then after ill obey all yours.
ham,We'll join the  &lt;#&gt;  bus
ham,Hmm ill have to think about it... ok you're forgiven! =D
ham,S now only i took tablets . Reaction morning only.
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham,How much u trying to get?
ham,Well i know Z will take care of me. So no worries.
ham,Are you still getting the goods.
ham,Stupid.its not possible
ham,S...i will take mokka players only:)
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
ham,Chk in ur belovd ms dict
ham,How long does it take to get it.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,Easy ah?sen got selected means its good..
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,What time do u get out?
ham,I will be outside office take all from there
ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
ham,Omg how did u know what I ate?
ham,Get ready for  &lt;#&gt;  inches of pleasure...
ham,What time. I‘m out until prob 3 or so
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,Shall i send that exe to your mail id.
ham,Yo sorry was in the shower sup
ham,Hows that watch resizing
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,"Until 545 lor... Ya, can go 4 dinner together..."
ham,Dad went out oredi...
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
ham,I cant pick the phone right now. Pls send a message
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,"It's wylie, you in tampa or sarasota?"
ham,Tired. I haven't slept well the past few nights.
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,I dont want to hear philosophy. Just say what happen
ham,Loosu go to hospital. De dont let it careless.
ham,No one interested. May be some business plan.
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
ham,Do u noe wat time e place dat sells 4d closes?
ham,Ok set let u noe e details later...
ham,U should have made an appointment
ham,S:)but he had some luck.2 catches put down:)
ham,Yes.. now only saw your message..
ham,Yup... How ü noe leh...
ham,But pls dont play in others life.
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,I cant pick the phone right now. Pls send a message
ham,No. I dont want to hear anything
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,"Sir, i am waiting for your call."
ham,Gud mrng dear hav a nice day
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,I'm thinking that chennai forgot to come for auction..
ham,No. But we'll do medical missions to nigeria
ham,I am on the way to ur home
ham,I'm at work. Please call
ham,Dont know you bring some food
ham,I like to talk pa but am not able to. I dont know y.
ham,But i'm really really broke oh. No amount is too small even  &lt;#&gt;
spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
ham,Big brother‘s really scraped the barrel with this shower of social misfits
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,I can't describe how lucky you are that I'm actually awake by noon
ham,I have to take exam with in march 3
ham,I absolutely LOVE South Park! I only recently started watching the office.
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,I keep ten rs in my shelf:) buy two egg.
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,Printer is cool. I mean groovy. Wine is groovying
ham,Oh yeah! And my diet just flew out the window
ham,Of course. I guess god's just got me on hold right now.
ham,You still at grand prix?
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message"
ham,10 min later k...
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Roger that. We‘re probably going to rem in about 20
ham,Hui xin is in da lib.
ham,"Not much, just some textin'. How bout you?"
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
ham,Ü dun need to pick ur gf?
ham,S:-)kallis wont play in first two odi:-)
ham,hanks lotsly!
ham,Eatin my lunch...
ham,No i am not having not any movies in my laptop
ham,Ok c ü then.
ham,What's nannys address?
ham,Lol that's different. I don't go trying to find every real life photo you ever took.
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Pls she needs to dat slowly or she will vomit more.
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,I'm in town now so i'll jus take mrt down later.
ham,:-( sad puppy noise
ham,Hope you are having a great day.
ham,Lol yeah at this point I guess not
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
ham,Once free call me sir.
ham,Then she buying today? Ü no need to c meh...
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
ham,Is ur paper today in e morn or aft?
ham,Poor girl can't go one day lmao
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
ham,I will come tomorrow di
ham,I send the print  outs da.
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
ham,I've told you everything will stop. Just dont let her get dehydrated.
ham,Ok thanx... Take care then...
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,I tagged MY friends that you seemed to count as YOUR friends.
ham,(That said can you text him one more time?)
ham,"Sorry, got a late start, we're on the way"
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
ham,Pathaya enketa maraikara pa'
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
ham,Ok i'm coming home now.
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,Wat ü doing now?
ham,Are you coming to day for class.
spam,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC
